id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
1,16,32,AMD Ryzen 9 5950X,11/5/2020,7,3400,4900,,8192,65536,105,AMD Ryzen 9 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10456,Boxed Processor,90,3200,10456
2,12,24,AMD Ryzen 9 5900X,11/5/2020,7,3700,4800,,6144,65536,105,AMD Ryzen 9 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10461,Boxed Processor,90,3200,10461
3,12,24,AMD Ryzen 9 5900 (OEM Only),1/12/2021,7,3000,4700,,6144,65536,65,AMD Ryzen 9 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10796,Desktop,95,3200,10796
4,8,16,AMD Ryzen 7 5800X,11/5/2020,7,3800,4700,,4096,32768,105,AMD Ryzen 7 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10466,Boxed Processor,90,3200,10466
5,8,16,AMD Ryzen 7 5800 (OEM Only),1/12/2021,7,3400,4600,,4096,32768,65,AMD Ryzen 7 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10791,Desktop,95,3200,10791
6,6,12,AMD Ryzen 5 5600X,11/5/2020,7,3700,4600,,3072,32768,65,AMD Ryzen 5 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/10471,Boxed Processor,95,3200,10471
7,12,24,AMD Ryzen 9 3900XT,7/2020,7,3800,4700,,6144,65536,105,AMD Ryzen 9 Desktop Processors,,DDR4,https://www.amd.com/en/product/9931,Boxed Processor,95,3200,9931
8,8,16,AMD Ryzen 7 3800XT,7/2020,7,3900,4700,,4096,32768,105,AMD Ryzen 7 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/9941,Boxed Processor,95,3200,9941
9,6,12,AMD Ryzen 5 3600XT,7/2020,7,3800,4500,,3072,32768,95,AMD Ryzen 5 Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/9936,Boxed Processor,95,3200,9936
10,64,128,AMD Ryzen Threadripper PRO 3995WX,7/14/2020,7,2700,4200,4096,32768,262144,280,AMD Ryzen Threadripper PRO Processors,sWRX8,DDR4,https://www.amd.com/en/product/10181,Desktop,90,3200,10181
11,32,64,AMD Ryzen Threadripper PRO 3975WX,7/14/2020,7,3500,4200,2048,16384,131072,280,AMD Ryzen Threadripper PRO Processors,sWRX8,DDR4,https://www.amd.com/en/product/10176,Desktop,90,3200,10176
12,16,32,AMD Ryzen Threadripper PRO 3955WX,7/14/2020,7,3900,4300,1024,8192,65536,280,AMD Ryzen Threadripper PRO Processors,sWRX8,DDR4,https://www.amd.com/en/product/10186,Desktop,90,3200,10186
13,12,24,AMD Ryzen Threadripper PRO 3945WX,7/14/2020,7,4000,4300,768,6144,65536,280,AMD Ryzen Threadripper PRO Processors,,DDR4,https://www.amd.com/en/product/10191,Desktop,90,3200,10191
