id,cores,threads,name,processor_number,launch_date,lithography,bus_speed,base_frequency,turbo_frequency,configurable_tdp_up_frequency,cache_size,tdp,configurable_tdp_up,price,product_line,socket,memory_type,url,vertical_segment,max_memory_size,status,max_temp,sku,package_size
1,4,8,Intel Itanium 9750,9750,2017-05-01,32,6.4,2530,,,32768,170,,,"",LGA1248,,https://ark.intel.com/content/www/us/en/ark/products/122884/intel-itanium-processor-9750-32m-cache-2-53-ghz.html,Server,,Discontinued,95,122884,
2,8,16,Intel Itanium 9760,9760,2017-05-01,32,6.4,2660,,,32768,170,,,"",LGA1248,,https://ark.intel.com/content/www/us/en/ark/products/122883/intel-itanium-processor-9760-32m-cache-2-66-ghz.html,Server,,Launched,95,122883,
3,4,8,Intel Itanium 9720,9720,2017-05-01,32,6.4,1730,,,20480,130,,,"",LGA1248,,https://ark.intel.com/content/www/us/en/ark/products/122882/intel-itanium-processor-9720-20m-cache-1-73-ghz.html,Server,,Launched,95,122882,
4,8,16,Intel Itanium 9740,9740,2017-05-01,32,6.4,2130,,,24576,170,,,"",LGA1248,,https://ark.intel.com/content/www/us/en/ark/products/122880/intel-itanium-processor-9740-24m-cache-2-13-ghz.html,Server,,Launched,95,122880,
5,4,8,Intel Itanium 9520,9520,2012-11-01,32,6.4,1730,,,20480,130,,,"",LGA1248,,https://ark.intel.com/content/www/us/en/ark/products/71702/intel-itanium-processor-9520-20m-cache-1-73-ghz.html,Server,,Discontinued,95,71702,
6,8,16,Intel Itanium 9540,9540,2012-11-01,32,6.4,2130,,,24576,170,,,"",LGA1248,,https://ark.intel.com/content/www/us/en/ark/products/71701/intel-itanium-processor-9540-24m-cache-2-13-ghz.html,Server,,Discontinued,95,71701,
7,4,8,Intel Itanium 9550,9550,2012-11-01,32,6.4,2400,,,32768,170,,,"",LGA1248,,https://ark.intel.com/content/www/us/en/ark/products/71700/intel-itanium-processor-9550-32m-cache-2-40-ghz.html,Server,,Discontinued,95,71700,
8,2,4,Intel Itanium 9152M,9152M,2007-11-01,90,667,1660,,,24576,104,,,"",,,https://ark.intel.com/content/www/us/en/ark/products/34655/intel-itanium-processor-9152m-24m-cache-1-66-ghz-667-mhz-fsb.html,Server,,Discontinued,76,34655,113mm x 48.26mm
9,2,4,Intel Itanium 9150N,9150N,2007-11-01,90,533,1600,,,24576,104,,,"",PPGA611,,https://ark.intel.com/content/www/us/en/ark/products/31796/intel-itanium-processor-9150n-24m-cache-1-60-ghz-533-mhz-fsb.html,Server,,Discontinued,76,31796,113mm x 48.26mm
10,2,4,Intel Itanium 9140N,9140N,2007-11-01,90,533,1600,,,18432,104,,,"",PPGA611,,https://ark.intel.com/content/www/us/en/ark/products/31795/intel-itanium-processor-9140n-18m-cache-1-60-ghz-533-mhz-fsb.html,Server,,Discontinued,76,31795,113mm x 48.26mm
11,1,,Intel Quark SE C1000,C1000,2015-11-01,,,32,,,8,,,,"","WL-CSP144, VFBGA144",,https://ark.intel.com/content/www/us/en/ark/products/91949/intel-quark-se-c1000-microcontroller.html,Embedded,,Discontinued,85,91949,10mmX10mm
12,4,8,Intel Core i7-8557U,i7-8557U,2019-08-01,14,4,1700,4500,,8192,15,,,"",FCBGA1528,"DDR4-2400, LPDDR3-2133",https://ark.intel.com/content/www/us/en/ark/products/192996/intel-core-i78557u-processor-8m-cache-up-to-4-50-ghz.html,Mobile,33554432,Launched,100,192996,46x24
13,4,8,Intel Core i5-8257U,i5-8257U,2019-08-01,14,4,1400,3900,,6144,15,,,"",FCBGA1528,"DDR4-2400, LPDDR3-2133",https://ark.intel.com/content/www/us/en/ark/products/191067/intel-core-i58257u-processor-6m-cache-up-to-3-90-ghz.html,Mobile,33554432,Launched,100,191067,46x24
14,2,4,Intel Core i7-7560U,i7-7560U,2017-02-01,14,,2400,3800,,4096,15,,,"",FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://ark.intel.com/content/www/us/en/ark/products/97540/intel-core-i77560u-processor-4m-cache-up-to-3-80-ghz.html,Mobile,33554432,Launched,100,97540,42x24x1.3
15,2,4,Intel Core i5-7260U,i5-7260U,2017-02-01,14,,2200,3400,,4096,15,,,"",FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://ark.intel.com/content/www/us/en/ark/products/97539/intel-core-i57260u-processor-4m-cache-up-to-3-40-ghz.html,Mobile,33554432,Launched,100,97539,42x24x1.3
16,2,4,Intel Core i7-7660U,i7-7660U,2017-02-01,14,4,2500,4000,,4096,15,,,"",FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://ark.intel.com/content/www/us/en/ark/products/97537/intel-core-i77660u-processor-4m-cache-up-to-4-00-ghz.html,Mobile,33554432,Launched,100,97537,42x24x1.3
17,2,4,Intel Core i5-7360U,i5-7360U,2017-02-01,14,4,2300,3600,,4096,15,,,"",FCBGA1356,"DDR4-2133, LPDDR3-1866, DDR3L-1600",https://ark.intel.com/content/www/us/en/ark/products/97535/intel-core-i57360u-processor-4m-cache-up-to-3-60-ghz.html,Mobile,33554432,Launched,100,97535,42x24x1.3
18,4,8,Intel Core i7-1065G7,i7-1065G7,2019-08-01,10,4,1300,3900,1500,8192,15,25,,"",FCBGA1526,"DDR4-3200, LPDDR4-3733",https://ark.intel.com/content/www/us/en/ark/products/196597/intel-core-i71065g7-processor-8m-cache-up-to-3-90-ghz.html,Mobile,67108864,Launched,100,196597,50mm x 25mm
19,2,4,Intel Core i3-1000G4,i3-1000G4,2019-08-01,10,4,1100,3200,,4096,9,,,"",,LPDDR4-3733,https://ark.intel.com/content/www/us/en/ark/products/197123/intel-core-i31000g4-processor-4m-cache-up-to-3-20-ghz.html,Mobile,33554432,Launched,100,197123,26.5 mm x 18.5 mm
20,4,8,Intel Core i5-1030G4,i5-1030G4,2019-08-01,10,4,700,3500,1000,6144,9,12,,"",,LPDDR4-3733,https://ark.intel.com/content/www/us/en/ark/products/197121/intel-core-i51030g4-processor-6m-cache-up-to-3-50-ghz.html,Mobile,33554432,Discontinued,100,197121,26.5 mm x 18.5 mm
21,4,8,Intel Core i7-1060G7,i7-1060G7,2019-08-01,10,4,1000,3800,1300,8192,9,12,,"",,LPDDR4-3733,https://ark.intel.com/content/www/us/en/ark/products/197120/intel-core-i71060g7-processor-8m-cache-up-to-3-80-ghz.html,Mobile,33554432,Launched,100,197120,26.5 mm x 18.5 mm
22,4,8,Intel Core i5-1030G7,i5-1030G7,2019-08-01,10,4,800,3500,1100,6144,9,12,,"",,LPDDR4-3733,https://ark.intel.com/content/www/us/en/ark/products/197119/intel-core-i51030g7-processor-6m-cache-up-to-3-50-ghz.html,Mobile,33554432,Discontinued,100,197119,26.5 mm x 18.5 mm
23,4,8,Intel Xeon E3-1258L v4,E3-1258LV4,2015-05-01,14,5,1800,3200,,6144,47,,,"",FCBGA1364,DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/88096/intel-xeon-processor-e31258l-v4-6m-cache-1-80-ghz.html,Embedded,33554432,Launched,105,88096,37.5mm x 32mm x 1.8mm
24,8,16,Intel Xeon Gold 6250L,6250L,2020-02-01,14,,3900,4500,,36608,185,,,"",FCLGA3647,DDR4-2933,https://ark.intel.com/content/www/us/en/ark/products/202780/intel-xeon-gold-6250l-processor-35-75m-cache-3-90-ghz.html,Server,4831838208,Launched,60,202780,76.0mm x 56.5mm
25,24,48,Intel Xeon Gold 5220R,5220R,2020-02-01,14,,2200,4000,,36608,150,,,"",FCLGA3647,DDR4-2667,https://ark.intel.com/content/www/us/en/ark/products/199354/intel-xeon-gold-5220r-processor-35-75m-cache-2-20-ghz.html,Server,1073741824,Launched,86,199354,76.0mm x 56.5mm
26,16,32,Intel Xeon Gold 6246R,6246R,2020-02-01,14,,3400,4100,,36608,205,,,"",FCLGA3647,DDR4-2933,https://ark.intel.com/content/www/us/en/ark/products/199353/intel-xeon-gold-6246r-processor-35-75m-cache-3-40-ghz.html,Server,1073741824,Launched,75,199353,76.0mm x 56.5mm
27,20,40,Intel Xeon Gold 6242R,6242R,2020-02-01,14,,3100,4100,,36608,205,,,"",FCLGA3647,DDR4-2933,https://ark.intel.com/content/www/us/en/ark/products/199352/intel-xeon-gold-6242r-processor-35-75m-cache-3-10-ghz.html,Server,1073741824,Launched,76,199352,76.0mm x 56.5mm
28,24,48,Intel Xeon Gold 6248R,6248R,2020-02-01,14,,3000,4000,,36608,205,,,"",FCLGA3647,DDR4-2933,https://ark.intel.com/content/www/us/en/ark/products/199351/intel-xeon-gold-6248r-processor-35-75m-cache-3-00-ghz.html,Server,1073741824,Launched,75,199351,76.0mm x 56.5mm
29,28,56,Intel Xeon Gold 6258R,6258R,2020-02-01,14,,2700,4000,,39424,205,,,"",FCLGA3647,DDR4-2933,https://ark.intel.com/content/www/us/en/ark/products/199350/intel-xeon-gold-6258r-processor-38-5m-cache-2-70-ghz.html,Server,1073741824,Launched,74,199350,76.0mm x 56.5mm
30,4,8,Intel Core i5-8260U,i5-8260U,2019-11-01,14,4,1600,3900,1800,6144,15,25,,"",FCBGA1528,"DDR4-2400, LPDDR3-2133",https://ark.intel.com/content/www/us/en/ark/products/198389/intel-core-i58260u-processor-6m-cache-up-to-3-90-ghz.html,Mobile,67108864,Launched,100,198389,46x24
