id,cores,threads,name,processor_number,launch_date,lithography,bus_speed,base_frequency,turbo_frequency,configurable_tdp_up_frequency,cache_size,tdp,configurable_tdp_up,price,product_line,socket,memory_type,url,vertical_segment,max_memory_size,status,max_temp,sku,package_size,fullname
1,2,2,Intel Atom C2338,C2338,2013-08-01,22,,1700,2000,,1024,7,,60,Intel Atom Processor C Series,FCBGA1283,DDR3/DDR3L 1333,https://www.intel.com/content/www/us/en/products/sku/77976/intel-atom-processor-c2338-1m-cache-1-70-ghz/specifications.html,Embedded,16777216,Launched,,77976,34 mm x 28 mm,"Intel Atom Processor C2338 (1M Cache, 1.70 GHz)"
2,2,2,Intel Atom C2350,C2350,2013-08-01,22,,1700,2000,,1024,6,,43,Intel Atom Processor C Series,FCBGA1283,DDR3/DDR3L 1333,https://www.intel.com/content/www/us/en/products/sku/77977/intel-atom-processor-c2350-1m-cache-1-70-ghz/specifications.html,Server,16777216,Launched,98,77977,34 mm x 28 mm,"Intel Atom Processor C2350 (1M Cache, 1.70 GHz)"
3,2,2,Intel Atom C2358,C2358,2013-08-01,22,,1700,2000,,1024,7,,60,Intel Atom Processor C Series,FCBGA1283,DDR3/DDR3L 1333,https://www.intel.com/content/www/us/en/products/sku/77978/intel-atom-processor-c2358-1m-cache-1-70-ghz/specifications.html,Embedded,16777216,Launched,,77978,34 mm x 28 mm,"Intel Atom Processor C2358 (1M Cache, 1.70 GHz)"
4,4,4,Intel Atom C2518,C2518,2013-08-01,22,,1700,,,2048,13,,91,Intel Atom Processor C Series,FCBGA1283,DDR3/DDR3L 1333,https://www.intel.com/content/www/us/en/products/sku/77979/intel-atom-processor-c2518-2m-cache-1-70-ghz/specifications.html,Embedded,33554432,Launched,,77979,34 mm x 28 mm,"Intel Atom Processor C2518 (2M Cache, 1.70 GHz)"
5,4,8,Intel Core i7-8709G,i7-8709G,2018-02-01,14,8,3100,4100,,8192,,,,8th Generation Intel Core i7 Processors,BGA2270,DDR4-2400,https://www.intel.com/content/www/us/en/products/sku/130407/intel-core-i78709g-processor-with-radeon-rx-vega-m-gh-graphics-8m-cache-up-to-4-10-ghz/specifications.html,Mobile,67108864,Discontinued,100,130407,31mm x 58.5mm,"Intel Core i7-8709G Processor with Radeon RX Vega M GH graphics (8M Cache, up to 4.10 GHz)"
6,4,8,Intel Core i7-6700,i7-6700,2015-08-01,14,8,3400,4000,,8192,65,,303,6th Generation Intel Core i7 Processors,FCLGA1151,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",https://www.intel.com/content/www/us/en/products/sku/88196/intel-core-i76700-processor-8m-cache-up-to-4-00-ghz/specifications.html,Desktop,67108864,Launched,71,88196,37.5mm x 37.5mm,"Intel Core i7-6700 Processor (8M Cache, up to 4.00 GHz)"
7,4,8,Intel Core i7-4720HQ,i7-4720HQ,2015-02-01,22,5,2600,3600,,6144,47,,,4th Generation Intel Core i7 Processors,FCBGA1364,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/78934/intel-core-i74720hq-processor-6m-cache-up-to-3-60-ghz/specifications.html,Mobile,33554432,Discontinued,100,78934,37.5mm x 32mm x 1.6mm,"Intel Core i7-4720HQ Processor (6M Cache, up to 3.60 GHz)"
8,4,8,Intel Core i7-4722HQ,i7-4722HQ,2015-02-01,22,5,2400,3400,,6144,37,,,4th Generation Intel Core i7 Processors,FCBGA1364,DDR3L 1333/1600,https://www.intel.com/content/www/us/en/products/sku/78935/intel-core-i74722hq-processor-6m-cache-up-to-3-40-ghz/specifications.html,Mobile,33554432,Discontinued,100,78935,37.5mm x 32mm x 1.6mm,"Intel Core i7-4722HQ Processor (6M Cache, up to 3.40 GHz)"
9,2,4,Intel Core i7-5550U,i7-5550U,2015-02-01,14,5,2000,3000,,4096,15,,,5th Generation Intel Core i7 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1600/1866",https://www.intel.com/content/www/us/en/products/sku/84992/intel-core-i75550u-processor-4m-cache-up-to-3-00-ghz/specifications.html,Mobile,16777216,Discontinued,105,84992,40mm x24mm x 1.3mm,"Intel Core i7-5550U Processor (4M Cache, up to 3.00 GHz)"
10,2,4,Intel Core i7-5557U,i7-5557U,2015-02-01,14,5,3100,3400,,4096,28,,426,5th Generation Intel Core i7 Processors,FCBGA1168,"DDR3L 1333/1600, LPDDR3 1600/1866",https://www.intel.com/content/www/us/en/products/sku/84993/intel-core-i75557u-processor-4m-cache-up-to-3-40-ghz/specifications.html,Mobile,16777216,Discontinued,105,84993,40mm x24mm x 1.3mm,"Intel Core i7-5557U Processor (4M Cache, up to 3.40 GHz)"
