Manufacturer,Brand,Model
AMD,A-Series,A10 Micro-6700T with Radeon R6 Graphics
AMD,A-Series,A10-6700 with Radeon HD 8670D
AMD,A-Series,A10-6700T with Radeon HD 8650D
AMD,A-Series,A10-6790B with Radeon HD 8670D
AMD,A-Series,A10-6790K with Radeon HD 8670D
AMD,A-Series,A10-6800B with Radeon HD 8670D
AMD,A-Series,A10-6800K with Radeon HD 8670D
AMD,A-Series,A10-7300 with Radeon R6 Graphics
AMD,A-Series,A10-7400P with Radeon R6 Graphics
AMD,A-Series,A10-7700K with Radeon R7 Series
AMD,A-Series,A10-7800 with Radeon R7 Series
AMD,A-Series,A10-7850K with Radeon R7 Series
AMD,A-Series,A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution
AMD,A-Series,A10-7860K with Radeon R7 Series
AMD,A-Series,A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution
AMD,A-Series,A10-7870K with Radeon R7 Series
AMD,A-Series,A10-7890K with Radeon R7 Graphics and Wraith cooler
AMD,A-Series,A10-8700P APU
AMD,A-Series,A10-8700P with Radeon R6 Graphics
AMD,A-Series,A10-9600P APU
AMD,A-Series,A10-9630P APU
AMD,A-Series,A10-9700 APU
AMD,A-Series,A10-9700E APU
AMD,A-Series,A12-9700P APU
AMD,A-Series,A12-9730P APU
AMD,A-Series,A12-9800 APU
AMD,A-Series,A12-9800E APU
AMD,A-Series,A4 Micro-6400T with Radeon R3 Graphics
AMD,A-Series,A4-5000 with Radeon HD 8330
AMD,A-Series,A4-5100 with Radeon HD 8330
AMD,A-Series,A4-6210 with Radeon R3 Graphics
AMD,A-Series,A4-6300 with Radeon HD 8370D
AMD,A-Series,A4-6320 with Radeon HD 8370D
AMD,A-Series,A4-7210 with Radeon R3 Graphics
AMD,A-Series,A4-7300 with Radeon HD 8470D
AMD,A-Series,A4-9120 APU
AMD,A-Series,A4-9120C APU
AMD,A-Series,A4-9125 APU
AMD,A-Series,A6-5200 with Radeon HD 8400
AMD,A-Series,A6-5200M with Radeon HD 8400
AMD,A-Series,A6-5350M with Radeon HD 8450G
AMD,A-Series,A6-6310 with Radeon R4 Graphics
AMD,A-Series,A6-6400B with Radeon HD 8470D
AMD,A-Series,A6-6400K with Radeon HD 8470D
AMD,A-Series,A6-6420B with Radeon HD 8470D
AMD,A-Series,A6-6420K with Radeon HD 8470D
AMD,A-Series,A6-7000 with Radeon R4 Graphics
AMD,A-Series,A6-7310 with Radeon R4 Graphics
AMD,A-Series,A6-7400K with Radeon R5 Series
AMD,A-Series,A6-7470K with Radeon R5 Series
AMD,A-Series,A6-8500P with Radeon R5 Graphics
AMD,A-Series,A6-9210 APU
AMD,A-Series,A6-9220 APU
AMD,A-Series,A6-9220C APU
AMD,A-Series,A6-9225 APU
AMD,A-Series,A6-9500 APU
AMD,A-Series,A6-9500E APU
AMD,A-Series,A6-9550 APU
AMD,A-Series,A8-6410 with Radeon R5 Graphics
AMD,A-Series,A8-6500 with Radeon HD 8570D
AMD,A-Series,A8-6500B with Radeon HD 8570D
AMD,A-Series,A8-6500T with Radeon HD 8550D
AMD,A-Series,A8-6600K with Radeon HD 8570D
AMD,A-Series,A8-7100 with Radeon R5 Graphics
AMD,A-Series,A8-7200P with Radeon R5 Graphics
AMD,A-Series,A8-7410 with Radeon R5 Graphics
