Manufacturer,Brand,Model
AMD,A-Series,A10 Micro-6700T with Radeon R6 Graphics
AMD,A-Series,A10-6700 with Radeon HD 8670D
AMD,A-Series,A10-6700T with Radeon HD 8650D
AMD,A-Series,A10-6790B with Radeon HD 8670D
AMD,A-Series,A10-6790K with Radeon HD 8670D
AMD,A-Series,A10-6800B with Radeon HD 8670D
AMD,A-Series,A10-6800K with Radeon HD 8670D
AMD,A-Series,A10-7300 with Radeon R6 Graphics
AMD,A-Series,A10-7400P with Radeon R6 Graphics
AMD,A-Series,A10-7700K with Radeon R7 Series
AMD,A-Series,A10-7800 with Radeon R7 Series
AMD,A-Series,A10-7850K with Radeon R7 Series
AMD,A-Series,A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution
AMD,A-Series,A10-7860K with Radeon R7 Series
AMD,A-Series,A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution
AMD,A-Series,A10-7870K with Radeon R7 Series
AMD,A-Series,A10-7890K with Radeon R7 Graphics and Wraith cooler
AMD,A-Series,A10-8700P APU
AMD,A-Series,A10-8700P with Radeon R6 Graphics
AMD,A-Series,A4 Micro-6400T with Radeon R3 Graphics
AMD,A-Series,A4-5000 with Radeon HD 8330
AMD,A-Series,A4-5100 with Radeon HD 8330
AMD,A-Series,A4-6210 with Radeon R3 Graphics
AMD,A-Series,A4-6300 with Radeon HD 8370D
AMD,A-Series,A4-6320 with Radeon HD 8370D
AMD,A-Series,A4-7210 with Radeon R3 Graphics
AMD,A-Series,A4-7300 with Radeon HD 8470D
AMD,A-Series,A6-5200 with Radeon HD 8400
AMD,A-Series,A6-5200M with Radeon HD 8400
AMD,A-Series,A6-5350M with Radeon HD 8450G
AMD,A-Series,A6-6310 with Radeon R4 Graphics
AMD,A-Series,A6-6400B with Radeon HD 8470D
AMD,A-Series,A6-6400K with Radeon HD 8470D
AMD,A-Series,A6-6420B with Radeon HD 8470D
AMD,A-Series,A6-6420K with Radeon HD 8470D
AMD,A-Series,A6-7000 with Radeon R4 Graphics
AMD,A-Series,A6-7310 with Radeon R4 Graphics
AMD,A-Series,A6-7400K with Radeon R5 Series
AMD,A-Series,A6-7470K with Radeon R5 Series
AMD,A-Series,A6-8500P with Radeon R5 Graphics
AMD,A-Series,A8-6410 with Radeon R5 Graphics
AMD,A-Series,A8-6500 with Radeon HD 8570D
AMD,A-Series,A8-6500B with Radeon HD 8570D
AMD,A-Series,A8-6500T with Radeon HD 8550D
AMD,A-Series,A8-6600K with Radeon HD 8570D
AMD,A-Series,A8-7100 with Radeon R5 Graphics
AMD,A-Series,A8-7200P with Radeon R5 Graphics
AMD,A-Series,A8-7410 with Radeon R5 Graphics
AMD,A-Series,A8-7600 with Radeon R7 Series
AMD,A-Series,A8-7650K with Radeon R7 Graphics and Near Silent Thermal Solution
AMD,A-Series,A8-7650K with Radeon R7 Series
AMD,A-Series,A8-7670K with Radeon R7 Graphics and Near Silent Thermal Solution
AMD,A-Series,A8-8600P APU
AMD,A-Series,A8-8600P with Radeon R6 Graphics
AMD,E-Series,E1 Micro-6200T with Radeon R2 Graphics
AMD,E-Series,E1-2100 with Radeon HD 8210
AMD,E-Series,E1-2200 with Radeon HD 8210
AMD,E-Series,E1-2500 with Radeon HD 8240
AMD,E-Series,E1-6010 with Radeon R2 Graphics
AMD,E-Series,E1-7010 with Radeon R2 Graphics
AMD,E-Series,E2-3000 with Radeon HD 8280
AMD,E-Series,E2-3800 with Radeon HD 8280
AMD,E-Series,E2-6110 with Radeon R2 Graphics
AMD,E-Series,E2-7110 with Radeon R2 Graphics
AMD,PRO A-Series,A10 PRO-7350B with Radeon R6 Graphics
AMD,PRO A-Series,A10 PRO-7800B with Radeon R7 Graphics
AMD,PRO A-Series,A10 PRO-7850B with Radeon R7 Graphics
AMD,PRO A-Series,A10-8700B APU
AMD,PRO A-Series,A10-8730B APU
AMD,PRO A-Series,A10-8750B APU
AMD,PRO A-Series,A10-8770 APU
AMD,PRO A-Series,A10-8770E APU
AMD,PRO A-Series,A10-8850B APU
AMD,PRO A-Series,A12-8800B APU
AMD,PRO A-Series,A12-8830B APU
AMD,PRO A-Series,A12-8870 APU
AMD,PRO A-Series,A12-8870E APU
AMD,PRO A-Series,A4 PRO-3340B with Radeon HD 8240 Graphics
AMD,PRO A-Series,A4 PRO-3350B with Radeon R4 Graphics
AMD,PRO A-Series,A4 PRO-7300B with Radeon HD 8470D
AMD,PRO A-Series,A4 PRO-7350B with Radeon R5 Graphics
AMD,PRO A-Series,A4-4350B APU
AMD,PRO A-Series,A4-5350B APU
AMD,PRO A-Series,A4-8350B APU
AMD,PRO A-Series,A6 PRO-7050B with Radeon R4 Graphics
AMD,PRO A-Series,A6 PRO-7400B with Radeon R5 Graphics
AMD,PRO A-Series,A6-7350B APU
AMD,PRO A-Series,A6-8350B APU
AMD,PRO A-Series,A6-8500B APU
AMD,PRO A-Series,A6-8530B APU
AMD,PRO A-Series,A6-8550B APU
AMD,PRO A-Series,A6-8570 APU
AMD,PRO A-Series,A6-8570E APU
AMD,PRO A-Series,A8 PRO-7150B with Radeon R5 Graphics
AMD,PRO A-Series,A8 PRO-7600B with Radeon R7 Graphics
AMD,PRO A-Series,A8-8600B APU
AMD,PRO A-Series,A8-8650B APU
