Manufacturer,Brand,Model
Intel,Celeron,3205U
Intel,Celeron,3215U
Intel,Celeron,3755U
Intel,Celeron,3765U
Intel,Celeron,3855U
Intel,Celeron,3955U
Intel,Celeron,G3900
Intel,Celeron,G3900E
Intel,Celeron,G3900T
Intel,Celeron,G3900TE
Intel,Celeron,G3902E
Intel,Celeron,G3920
Intel,Core,i3-5005U
Intel,Core,i3-5010U
Intel,Core,i3-5015U
Intel,Core,i3-5020U
Intel,Core,i3-5157U
Intel,Core,i3-6006U
Intel,Core,i3-6098P
Intel,Core,i3-6100
Intel,Core,i3-6100E
Intel,Core,i3-6100H
Intel,Core,i3-6100T
Intel,Core,i3-6100TE
Intel,Core,i3-6100U
Intel,Core,i3-6102E
Intel,Core,i3-6157U
Intel,Core,i3-6167U
Intel,Core,i3-6300
Intel,Core,i3-6300T
Intel,Core,i3-6320
Intel,Core,i5-5200U
Intel,Core,i5-5250U
Intel,Core,i5-5257U
Intel,Core,i5-5287U
Intel,Core,i5-5300U
Intel,Core,i5-5350H
Intel,Core,i5-5350U
Intel,Core,i5-5575R
Intel,Core,i5-5675C
Intel,Core,i5-5675R
Intel,Core,i5-6200U
Intel,Core,i5-6260U
Intel,Core,i5-6267U
Intel,Core,i5-6287U
Intel,Core,i5-6300HQ
Intel,Core,i5-6300U
Intel,Core,i5-6350HQ
Intel,Core,i5-6360U
Intel,Core,i5-6400
Intel,Core,i5-6400T
Intel,Core,i5-6402P
Intel,Core,i5-6440EQ
Intel,Core,i5-6440HQ
Intel,Core,i5-6442EQ
Intel,Core,i5-6500
Intel,Core,i5-6500T
Intel,Core,i5-6500TE
Intel,Core,i5-6585R
Intel,Core,i5-6600
Intel,Core,i5-6600K
Intel,Core,i5-6600T
Intel,Core,i5-6685R
Intel,Core,i7-5500U
Intel,Core,i7-5550U
Intel,Core,i7-5557U
Intel,Core,i7-5600U
Intel,Core,i7-5650U
Intel,Core,i7-5700EQ
Intel,Core,i7-5700HQ
Intel,Core,i7-5750HQ
Intel,Core,i7-5775C
Intel,Core,i7-5775R
Intel,Core,i7-5850EQ
Intel,Core,i7-5850HQ
Intel,Core,i7-5950HQ
Intel,Core,i7-6500U
Intel,Core,i7-6560U
Intel,Core,i7-6567U
Intel,Core,i7-6600U
Intel,Core,i7-6650U
Intel,Core,i7-6660U
Intel,Core,i7-6700
Intel,Core,i7-6700HQ
Intel,Core,i7-6700K
Intel,Core,i7-6700T
Intel,Core,i7-6700TE
Intel,Core,i7-6770HQ
Intel,Core,i7-6785R
Intel,Core,i7-6820EQ
Intel,Core,i7-6820HK
